Celsius Temperature               Fahrenheit Temperature
       0                                   32
       1                                   33.8
       2                                   35.6
       3                                   37.4
       4                                   39.2
       5                                   41
       6                                   42.8
       7                                   44.6
       8                                   46.4
       9                                   48.2
       10                                   50
       11                                   51.8
       12                                   53.6
       13                                   55.4
       14                                   57.2
       15                                   59
       16                                   60.8
       17                                   62.6
       18                                   64.4
       19                                   66.2
       20                                   68
       21                                   69.8
       22                                   71.6
       23                                   73.4
       24                                   75.2
       25                                   77
       26                                   78.8
       27                                   80.6
       28                                   82.4
       29                                   84.2
       30                                   86
       31                                   87.8
       32                                   89.6
       33                                   91.4
       34                                   93.2
       35                                   95
       36                                   96.8
       37                                   98.6
       38                                   100.4
       39                                   102.2
       40                                   104
       41                                   105.8
       42                                   107.6
       43                                   109.4
       44                                   111.2
       45                                   113
       46                                   114.8
       47                                   116.6
       48                                   118.4
       49                                   120.2
       50                                   122
       51                                   123.8
       52                                   125.6
       53                                   127.4
       54                                   129.2
       55                                   131
       56                                   132.8
       57                                   134.6
       58                                   136.4
       59                                   138.2
       60                                   140
       61                                   141.8
       62                                   143.6
       63                                   145.4
       64                                   147.2
       65                                   149
       66                                   150.8
       67                                   152.6
       68                                   154.4
       69                                   156.2
       70                                   158
       71                                   159.8
       72                                   161.6
       73                                   163.4
       74                                   165.2
       75                                   167
       76                                   168.8
       77                                   170.6
       78                                   172.4
       79                                   174.2
       80                                   176
       81                                   177.8
       82                                   179.6
       83                                   181.4
       84                                   183.2
       85                                   185
       86                                   186.8
       87                                   188.6
       88                                   190.4
       89                                   192.2
       90                                   194
       91                                   195.8
       92                                   197.6
       93                                   199.4
       94                                   201.2
       95                                   203
       96                                   204.8
       97                                   206.6
       98                                   208.4
       99                                   210.2
       100                                   212
